Bauartnummer;Bauartname;Spielname;Datum;Zulassungsinhaber;Fehler;TR-Version;ZL-Daten
817;Sonnen Duo Casino;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
818;Quattro;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
819;Golden Jubilar;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
821;Rototron Sun King;;1997;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
822;Triple J;;1997;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
823;Triomint Safari II;;1997;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
824;Reaction;;1997;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
825;Rototron Lucky;;1997;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
826;Multi Prima;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
828;Multi Prima Pur;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
829;Herkules;;1997;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
831;Rotaming Tango;;1997;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
832;Joker Poker;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
833;Pinke Pinke;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
835;Roulette Zero;;1997;Playmont Flip-Inn Spielautomaten Service- und Handels GmbH, 34117 Kassel, Deutschland;;TR;
838;Mega Quattro;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
852;Rototron Red Fox;;1997;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
843;Super Winner;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
846;Rototron Gloria Super;;1997;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
848;Herkules Classic;;1997;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
849;Sun Star;;1997;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
850;Cyber Play;;1997;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
853;BW001;Rototron Super Jump;1997;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
855;Ballermann 6;;1997;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
856;Cyber Play Classic;;1997;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
859;Money;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
